iter	Passed	Remaining
730	10765	3961
731	10781	3947
732	10799	3933
733	10815	3919
734	10825	3903
735	10839	3888
736	10853	3873
737	10867	3858
738	10883	3843
739	10896	3828
740	10913	3814
741	10929	3800
742	10945	3786
743	10960	3771
744	10976	3756
745	10992	3742
746	11008	3728
747	11023	3713
748	11038	3699
749	11054	3684
750	11067	3669
751	11082	3654
752	11097	3640
753	11113	3626
754	11127	3610
755	11142	3596
756	11155	3580
757	11168	3565
758	11182	3550
759	11195	3535
760	11210	3520
761	11224	3505
762	11239	3491
763	11256	3477
764	11270	3462
765	11284	3447
766	11297	3431
767	11310	3416
768	11321	3400
769	11338	3386
770	11352	3372
771	11366	3356
772	11380	3342
773	11395	3327
774	11411	3312
775	11428	3299
776	11440	3283
777	11454	3268
778	11468	3253
779	11480	3238
780	11492	3222
781	11506	3207
782	11519	3192
783	11529	3176
784	11542	3161
785	11552	3145
786	11563	3129
787	11573	3113
788	11586	3098
789	11600	3083
790	11610	3067
791	11621	3052
792	11633	3036
793	11646	3021
794	11657	3006
795	11668	2990
796	11681	2975
797	11692	2959
798	11702	2943
799	11716	2929
800	11731	2914
801	11746	2899
802	11760	2885
803	11774	2870
804	11787	2855
805	11803	2840
806	11817	2826
807	11832	2811
808	11850	2797
809	11862	2782
810	11875	2767
811	11889	2752
812	11900	2737
813	11913	2722
814	11925	2706
815	11936	2691
816	11946	2675
817	11961	2661
818	11974	2646
819	11987	2631
820	12004	2617
821	12017	2602
822	12031	2587
823	12047	2573
824	12062	2558
825	12077	2544
826	12091	2529
827	12104	2514
828	12117	2499
829	12133	2485
830	12148	2470
831	12160	2455
832	12174	2440
833	12189	2426
834	12202	2411
835	12214	2396
836	12229	2381
837	12245	2367
838	12260	2352
839	12276	2338
840	12290	2323
841	12301	2308
842	12313	2293
843	12326	2278
844	12339	2263
845	12349	2248
846	12364	2233
847	12377	2218
848	12391	2203
849	12403	2188
850	12415	2173
851	12429	2159
852	12443	2144
853	12453	2129
854	12467	2114
855	12479	2099
856	12492	2084
857	12505	2069
858	12519	2054
859	12531	2040
860	12546	2025
861	12557	2010
862	12569	1995
863	12584	1980
864	12599	1966
865	12613	1951
866	12626	1937
867	12642	1922
868	12655	1907
869	12668	1893
870	12681	1878
871	12694	1863
872	12706	1848
873	12721	1833
874	12735	1819
875	12749	1804
876	12762	1789
877	12776	1775
878	12791	1760
879	12806	1746
880	12821	1731
881	12837	1717
882	12852	1702
883	12866	1688
884	12879	1673
885	12892	1658
886	12906	1644
887	12921	1629
888	12935	1615
889	12948	1600
890	12964	1585
891	12979	1571
892	12994	1557
893	13010	1542
894	13025	1528
895	13040	1513
896	13057	1499
897	13071	1484
898	13085	1470
899	13098	1455
900	13112	1440
901	13129	1426
902	13144	1411
903	13160	1397
904	13174	1382
905	13189	1368
906	13207	1354
907	13224	1339
908	13242	1325
909	13261	1311
910	13275	1296
911	13291	1282
912	13307	1268
913	13322	1253
914	13339	1239
915	13355	1224
916	13373	1210
917	13390	1196
918	13406	1181
919	13425	1167
920	13439	1152
921	13458	1138
922	13471	1123
923	13489	1109
924	13504	1094
925	13518	1080
926	13534	1065
927	13549	1051
928	13598	1039
929	13619	1025
930	13633	1010
931	13669	997
932	13692	983
933	13725	969
934	13761	956
935	13870	948
936	13895	934
937	13926	920
938	13976	907
939	14049	896
940	14067	882
941	14189	873
942	14231	860
943	14259	845
944	14292	831
945	14314	817
946	14332	802
947	14356	787
948	14379	772
949	14399	757
950	14418	742
951	14442	728
952	14513	715
953	14574	702
954	14593	687
955	14610	672
956	14623	657
957	14647	642
958	14664	626
959	14685	611
960	14706	596
961	14736	582
962	14760	567
963	14779	551
964	14800	536
965	14816	521
966	14829	506
967	14847	490
968	14863	475
969	14880	460
970	14897	444
971	14916	429
972	14937	414
973	14972	399
974	15015	385
975	15044	369
976	15061	354
977	15085	339
978	15105	324
979	15130	308
980	15160	293
981	15188	278
982	15211	263
983	15241	247
984	15266	232
985	15279	216
986	15297	201
987	15316	186
988	15330	170
989	15350	155
990	15370	139
991	15388	124
992	15427	108
993	15460	93
994	15495	77
995	15529	62
996	15564	46
997	15618	31
998	15643	15
999	15665	0
