iter	Logloss
0	0.6648240384
1	0.6409772466
2	0.6153030489
3	0.5974493037
4	0.576962003
5	0.5612977208
6	0.547245666
7	0.5339419565
8	0.5214712273
9	0.5098208437
10	0.4992683945
11	0.4900325671
12	0.4825918233
13	0.4756698407
14	0.4703953958
15	0.4649048009
16	0.4604544935
17	0.4555355166
18	0.4518168043
19	0.4476713304
20	0.4443141204
21	0.4398868895
22	0.4362619378
23	0.433106539
24	0.4305895994
25	0.4284743801
26	0.4260497503
27	0.4240759342
28	0.4216561617
29	0.4203534915
30	0.4180120096
31	0.4164881846
32	0.414994862
33	0.413724938
34	0.4126267905
35	0.4113181591
36	0.4098801827
37	0.4087978007
38	0.4078390605
39	0.4067708839
40	0.4060853816
41	0.4053301919
42	0.4042281081
43	0.4034695381
44	0.4027864626
45	0.402112527
46	0.401571956
47	0.4007875398
48	0.3998835365
49	0.3993753363
50	0.3989442347
51	0.3984308855
52	0.397650204
53	0.3971724469
54	0.3968513807
55	0.3964357879
56	0.3958817072
57	0.395073325
58	0.3947668063
59	0.3940362535
60	0.3937259871
61	0.393340206
62	0.3930560467
63	0.3927871143
64	0.3924310175
65	0.3921093909
66	0.3915519396
67	0.391495836
68	0.3912105794
69	0.3906786641
70	0.3902722302
71	0.3898064819
72	0.3896895694
73	0.3894164949
74	0.3892644334
75	0.3886913097
76	0.3882433921
77	0.3879965964
78	0.387787656
79	0.3876709157
80	0.3873367376
81	0.3868250651
82	0.3864885883
83	0.3861382471
84	0.385988078
85	0.3857951642
86	0.3854689242
87	0.3852485557
88	0.3850937848
89	0.384871734
90	0.3848226558
91	0.3845906896
92	0.3844127585
93	0.3842637722
94	0.3841808953
95	0.3840020491
96	0.3838571162
97	0.3837357758
98	0.3835073855
99	0.3834053701
100	0.3833039716
101	0.3830723749
102	0.3829890463
103	0.3827644738
104	0.3827028655
105	0.3826334848
106	0.3825772653
107	0.3824498494
108	0.3822994117
109	0.3821269642
110	0.3819557884
111	0.3816533627
112	0.3815713716
113	0.3814447593
114	0.3813866233
115	0.3812017354
116	0.3811310351
117	0.3809459009
118	0.380794543
119	0.3807477769
120	0.3805928499
121	0.3804269607
122	0.3803575122
123	0.3803254523
124	0.3802722704
125	0.3800905006
126	0.3799069393
127	0.3798406235
128	0.379746197
129	0.3796513106
130	0.3794863598
131	0.3792655643
132	0.3791065647
133	0.3787625458
134	0.3786173349
135	0.3782675322
136	0.3780698126
137	0.3780023473
138	0.3779262013
139	0.3777706025
140	0.3776778676
141	0.3775184619
142	0.3774760874
143	0.377420914
144	0.3773410204
145	0.3772668866
146	0.3771150383
147	0.3769887089
148	0.3768217696
149	0.3767613645
150	0.3766815065
151	0.3766367643
152	0.3765828001
153	0.3764572161
154	0.37637687
155	0.3762356398
156	0.3761605286
157	0.3760293062
158	0.3759793493
159	0.3759607522
160	0.375901033
161	0.375886978
162	0.3756754754
163	0.3756226188
164	0.3755100581
165	0.3754330552
166	0.3753492985
167	0.3753160722
168	0.3751873138
169	0.3751668141
170	0.3750743992
171	0.37493901
172	0.3748204336
173	0.3745669133
174	0.3744865605
175	0.3744632716
176	0.3744081867
177	0.3743973604
178	0.3743503389
179	0.3742380259
180	0.3741237623
181	0.3738514096
182	0.3736960442
183	0.3736734835
184	0.3735803974
185	0.3735227192
186	0.3734585293
187	0.373383346
188	0.3733412737
189	0.3733033949
190	0.3732702192
191	0.3732176144
192	0.3731521673
193	0.3730871775
194	0.3730229461
195	0.3729571304
196	0.3729126523
197	0.3728612914
198	0.3728106867
199	0.372737272
200	0.3727027617
201	0.3726238675
202	0.3725932899
203	0.372539585
204	0.3725103883
205	0.3724723832
206	0.3724208863
207	0.3724021832
208	0.372359198
209	0.3723222735
210	0.3723027197
211	0.3722595464
212	0.3721397488
213	0.3721151535
214	0.3720115804
215	0.3718018419
216	0.3717220185
217	0.3716225507
218	0.3716074089
219	0.3715706614
220	0.3715454689
221	0.3713868651
222	0.371355875
223	0.3713347258
224	0.3712475755
225	0.37121502
226	0.3711244299
227	0.3710932054
228	0.3710536911
229	0.3709596225
230	0.3707928549
231	0.3707777714
232	0.3707240407
233	0.3706959034
234	0.3705259063
235	0.3704874481
236	0.3704249473
237	0.3703839943
238	0.370255558
239	0.3702236599
240	0.3701409368
241	0.3701087303
242	0.3700608705
243	0.369997791
244	0.3699303469
245	0.3699070059
246	0.3698519257
247	0.3698307127
248	0.3697137335
249	0.3696954434
250	0.3696535576
251	0.3696190525
252	0.3695408347
253	0.3695229919
254	0.3695045669
255	0.3692196776
256	0.3691696728
257	0.3691263056
258	0.369038899
259	0.3690215755
260	0.3689101238
261	0.3688293013
262	0.3687671989
263	0.3687408519
264	0.3687095373
265	0.3686159276
266	0.3684429581
267	0.3684009414
268	0.3682354208
269	0.3680095228
270	0.3679744023
271	0.3679557174
272	0.3678963767
273	0.3678730896
274	0.3678420307
275	0.3677609371
276	0.3676326801
277	0.367600282
278	0.367564362
279	0.367444366
280	0.3673921426
281	0.3673768539
282	0.3673275291
283	0.3672655853
284	0.3672236887
285	0.3671725015
286	0.3671164978
287	0.3670740072
288	0.3670251236
289	0.3670085282
290	0.366955779
291	0.3668139239
292	0.36672389
293	0.3666286676
294	0.3666156979
295	0.3665828727
296	0.3664454183
297	0.3664021253
298	0.3663548325
299	0.3663117642
300	0.3662890392
301	0.366251356
302	0.3660418867
303	0.3660071737
304	0.3659106492
305	0.3658781183
306	0.3658694284
307	0.3657923698
308	0.3657670343
309	0.3657370064
310	0.3657045953
311	0.365681898
312	0.3656383598
313	0.3656239985
314	0.365450785
315	0.3652433859
316	0.3652059869
317	0.3651565718
318	0.3650660912
319	0.3650337427
320	0.364747532
321	0.3646084672
322	0.3645679447
323	0.3644984135
324	0.3644562501
325	0.3644300081
326	0.3643675294
327	0.3643474908
328	0.3643340986
329	0.364150223
330	0.3641202246
331	0.3639369218
332	0.3638757906
333	0.3638374202
334	0.3638282071
335	0.3638084581
